PSR Number,Description,Status,Date Originated,Final Complete Date,Product Line(s),Complaint Details.Adverse Event Suspected?,Complaint Details.Facility Country,Complaint Details.Lot/Serial Number,Complaint Details.Complaint Received By,Complaint Details.Investigation Result Code (N/A to all QMS),Complaint Details.Customer Symptom Code
00000595,Description 595,Closed,11/01/2017 09:06:26 PM PDT,06/25/2018 05:15:29 AM PDT,Product 1,No,Australia,210914,Name 595,N/A,Power Issues
00000596,Description 596,Closed,11/01/2017 09:06:27 PM PDT,05/31/2018 04:52:13 AM PDT,Product 2,No,Sweden,945047,Name 596,Taastrup|Fitting and Verification|HW|Bluetooth|Connection issues,Main/Digital Board
00000597,Description 597,Closed,11/01/2017 09:06:31 PM PDT,05/31/2018 04:53:47 AM PDT,Product 3,No,United Kingdom,245835,Name 597,Taastrup|Fitting and Verification|HW|Power Supply Unit|Broken,Power Issues
00000598,Description 598,Canceled,11/01/2017 09:06:32 PM PDT,,Product 4,No,Ireland,957867,Name 598,,Probe
00000599,Description 599,Closed,11/02/2017 09:05:52 PM PDT,05/31/2018 04:56:32 AM PDT,Product 5,No,United Kingdom,187767,Name 599,Taastrup|Immittance|HW|Probe|Leak,Probe
00000600,Description 600,Submitted,11/02/2017 09:05:56 PM PDT,,Product 6,No,USA,11335102701,Name 600,,Calibration Error
00000601,Description 601,Canceled,11/02/2017 09:05:56 PM PDT,,Product 7,,New Zealand,,Name 601,,
00000602,Description 602,Canceled,11/02/2017 09:05:56 PM PDT,,Product 8,,Australia,,Name 602,,Other
00000603,Description 603,Submitted,11/02/2017 09:05:57 PM PDT,,Product 9,No,Philippines,"305240, 305239",Name 603,,Other
00000604,Description 604,Submitted,11/02/2017 09:05:57 PM PDT,,Product 10,No,Australia,N/A,Name 604,,
00000605,Description 605,Closed,11/02/2017 09:06:09 PM PDT,05/31/2018 05:02:22 AM PDT,Product 11,No,United Kingdom,1161591163,Name 605,Taastrup|Audiometry|Uncertain|Uncertain|Other,Accessories
00000606,Description 606,Closed,11/02/2017 09:06:10 PM PDT,05/31/2018 05:22:50 AM PDT,Product 12,No,United Kingdom,984542,Name 606,Taastrup|Fitting and Verification|HW|Probe|Other,Probe
00000607,Description 607,Closed,11/02/2017 09:06:12 PM PDT,05/31/2018 05:24:02 AM PDT,Product 13,No,United Kingdom,211002,Name 607,Taastrup|Immittance|HW|Probe|Broken,Probe
00000608,Description 608,Closed,11/02/2017 09:06:17 PM PDT,05/31/2018 05:26:17 AM PDT,Product 14,No,United Kingdom,997415,Name 608,Taastrup|Audiometry|HW|Phone|Broken cable,Cable issue
00000609,Description 609,Closed,11/02/2017 09:06:18 PM PDT,05/31/2018 05:30:25 AM PDT,Product 15,No,United Kingdom,957734,Name 609,Taastrup|Fitting and Verification|HW|Probe|Calibration failed,Probe
00000610,Description 610,Submitted,11/09/2017 09:00:43 PM PST,,Product 16,No,Italy,223154,Name 610,,Probe
00000611,Description 611,Review,11/02/2017 09:06:22 PM PDT,,Product 17,No,Germany,N/A,Name 611,,
00000612,Description 612,Review,11/02/2017 09:06:23 PM PDT,,Product 18,No,Germany,R4484047,Name 612,,Computer Issue
00000613,Description 613,Closed,11/02/2017 09:06:41 PM PDT,05/31/2018 05:31:38 AM PDT,Product 19,No,United Kingdom,997285,Name 613,Taastrup|Vestibular Testing|HW|Fan|Other,Power Issues
00000614,Description 614,Closed,11/02/2017 09:06:41 PM PDT,05/31/2018 05:34:38 AM PDT,Product 20,No,Spain,233347,Name 614,Taastrup|Immittance|HW|Chassis|Broken,Chassis
00000615,Description 615,Closed,11/02/2017 09:06:45 PM PDT,05/31/2018 05:36:14 AM PDT,Product 21,No,United Kingdom,395447,Name 615,Taastrup|Fitting and Verification|HW|Ref mic|Connection issues,Microphone
00000616,Description 616,Submitted,11/03/2017 09:05:50 PM PDT,,Product 22,No,Ireland,957867,Name 616,,Probe
00000617,Description 617,Submitted,11/03/2017 09:05:50 PM PDT,,Product 23,No,Germany,920P-1767,Name 617,,Printer Issue
00000618,Description 618,Closed,11/03/2017 09:05:57 PM PDT,11/24/2017 03:18:33 AM PST,Product 24,No,Nepal,130253,Name 618,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00000619,Description 619,Submitted,11/03/2017 09:05:58 PM PDT,,Product 25,No,Nepal,61117,Name 619,,Connector - Bent or Damaged
00000620,Description 620,Submitted,11/03/2017 09:06:00 PM PDT,,Product 26,No,Singapore,440821,Name 620,,Power Issues
00000621,Description 621,Submitted,11/03/2017 09:06:01 PM PDT,,Product 27,No,Singapore,944401,Name 621,,Power Issues
00000622,Description 622,Submitted,11/03/2017 09:06:05 PM PDT,,Product 28,No,Argentina,270575,Name 622,,Camera
00000623,Description 623,Closed,11/03/2017 09:06:06 PM PDT,11/16/2017 05:43:26 AM PST,Product 29,No,Italy,N/A,Name 623,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000624,Description 624,Closed,11/03/2017 09:06:07 PM PDT,11/17/2017 03:34:26 AM PST,Product 30,No,Italy,N/A,Name 624,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000625,Description 625,Closed,11/03/2017 09:06:07 PM PDT,11/17/2017 03:35:00 AM PST,Product 31,No,Germany,N/A,Name 625,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000626,Description 626,Closed,11/03/2017 09:06:08 PM PDT,11/17/2017 03:35:29 AM PST,Product 32,No,Germany,N/A,Name 626,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000627,Description 627,Closed,11/03/2017 09:06:08 PM PDT,11/17/2017 03:36:04 AM PST,Product 33,No,Germany,N/A,Name 627,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000628,Description 628,Submitted,11/03/2017 09:06:09 PM PDT,,Product 34,No,United Kingdom,421252,Name 628,,Headset
00000629,Description 629,Submitted,11/03/2017 09:06:11 PM PDT,,Product 35,No,United Kingdom,131553,Name 629,,Cable issue
00000630,Description 630,Submitted,11/03/2017 09:06:14 PM PDT,,Product 36,No,United Kingdom,975065,Name 630,,Headset
00000631,Description 631,Closed,11/03/2017 09:06:15 PM PDT,06/25/2018 05:35:00 AM PDT,Product 37,No,United Kingdom,975065,Name 631,N/A,Probe
00000632,Description 632,Submitted,11/03/2017 09:06:17 PM PDT,,Product 38,No,Germany,N/A,Name 632,,PSU/Charger
00000633,Description 633,Closed,11/03/2017 09:06:18 PM PDT,11/17/2017 03:37:46 AM PST,Product 39,No,Germany,434114,Name 633,"N/A, Complaint Closed Prior To This Field Implementation","Routine maintenance, calibrati"
00000634,Description 634,Closed,11/03/2017 09:06:23 PM PDT,06/25/2018 05:34:24 AM PDT,Product 40,No,Korea,40976020,Name 634,N/A,Cable issue
00000635,Description 635,Closed,11/03/2017 09:06:26 PM PDT,11/17/2017 03:38:38 AM PST,Product 41,No,France,N/A,Name 635,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000636,Description 636,Submitted,11/06/2017 09:05:43 PM PST,,Product 42,No,France,100990041,Name 636,,Probe
00000637,Description 637,Submitted,11/03/2017 09:06:28 PM PDT,,Product 43,No,United Kingdom,187774,Name 637,,Pump
00000638,Description 638,Submitted,11/03/2017 09:06:28 PM PDT,,Product 44,No,United Kingdom,382387,Name 638,,PSU/Charger
00000639,Description 639,Review,11/03/2017 09:06:53 PM PDT,,Product 45,No,Germany,N/A,Name 639,,
00000640,Description 640,Closed,11/03/2017 09:06:55 PM PDT,06/25/2018 05:48:00 AM PDT,Product 46,No,Germany,318063,Name 640,N/A,Cable issue
00000641,Description 641,Closed,11/06/2017 09:05:50 PM PST,11/17/2017 03:39:18 AM PST,Product 47,No,Italy,133894,Name 641,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000642,Description 642,Submitted,11/06/2017 09:05:51 PM PST,,Product 48,No,USA,432377,Name 642,,Probe
00000643,Description 643,Submitted,11/06/2017 09:05:52 PM PST,,Product 49,No,USA,5871,Name 643,,Cable issue
00000644,Description 644,Submitted,11/06/2017 09:05:53 PM PST,,Product 50,No,Italy,418761,Name 644,,Connector - Bent or Damaged
00000645,Description 645,Submitted,11/06/2017 09:05:53 PM PST,,Product 51,No,USA,978252,Name 645,,Communication to System Issue
00000646,Description 646,Review,11/06/2017 09:05:54 PM PST,,Product 52,No,USA,5876,Name 646,N/A,Communication to System Issue
00000647,Description 647,Submitted,11/06/2017 09:05:54 PM PST,,Product 53,No,USA,104755,Name 647,,Power Issues
00000648,Description 648,Submitted,11/06/2017 09:05:55 PM PST,,Product 54,No,United Kingdom,373760-382375,Name 648,,Probe
00000649,Description 649,Submitted,11/06/2017 09:05:56 PM PST,,Product 55,No,United Kingdom,245835,Name 649,,Power Issues
00000650,Description 650,Canceled,02/06/2018 09:00:40 PM PST,,Product 56,No,United Kingdom,N/A,Name 650,,
00000651,Description 651,Submitted,11/06/2017 09:05:57 PM PST,,Product 57,No,Spain,8039,Name 651,,Microphone
00000652,Description 652,Canceled,11/06/2017 09:05:59 PM PST,,Product 58,No,Italy,N/A,Name 652,,
00000653,Description 653,Canceled,11/06/2017 09:05:59 PM PST,,Product 59,No,Italy,N/A,Name 653,,
00000654,Description 654,Canceled,11/06/2017 09:06:00 PM PST,,Product 60,No,Italy,N/A,Name 654,,
00000655,Description 655,Submitted,11/06/2017 09:06:00 PM PST,,Product 61,No,Ireland,425512,Name 655,,Cable issue
00000656,Description 656,Closed,11/06/2017 09:06:01 PM PST,06/25/2018 05:48:50 AM PDT,Product 62,No,United Kingdom,405081,Name 656,N/A,Cable issue
00000657,Description 657,Submitted,04/08/2018 09:01:37 PM PDT,,Product 63,No,Italy,437858,Name 657,,Main/Digital Board
00000658,Description 658,Submitted,11/06/2017 09:06:04 PM PST,,Product 64,No,El Salvador,61344,Name 658,,Probe
00000659,Description 659,Closed,11/06/2017 09:06:07 PM PST,11/17/2017 03:39:39 AM PST,Product 65,No,Italy,AU1PH15100682,Name 659,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000660,Description 660,Submitted,11/06/2017 09:06:09 PM PST,,Product 66,No,USA,989345,Name 660,,Probe
00000661,Description 661,Review,11/06/2017 09:06:09 PM PST,,Product 67,No,USA,959074,Name 661,,Cable issue
00000662,Description 662,Review,11/06/2017 09:06:10 PM PST,,Product 68,No,USA,298941,Name 662,,Microphone
00000663,Description 663,Review,11/06/2017 09:06:10 PM PST,,Product 69,No,USA,125356,Name 663,,Probe
00000664,Description 664,Review,11/06/2017 09:06:11 PM PST,,Product 70,No,USA,979383,Name 664,,Pump
00000665,Description 665,Review,11/06/2017 09:06:12 PM PST,,Product 71,No,Australia,121900,Name 665,,Camera
00000666,Description 666,Closed,11/06/2017 09:06:14 PM PST,11/17/2017 03:40:00 AM PST,Product 72,No,Germany,N/A,Name 666,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000667,Description 667,Closed,11/07/2017 09:05:39 PM PST,11/17/2017 03:40:32 AM PST,Product 73,No,Germany,N/A,Name 667,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000668,Description 668,Review,11/07/2017 09:05:40 PM PST,,Product 74,No,Germany,703147,Name 668,,
00000669,Description 669,Closed,11/07/2017 09:05:41 PM PST,06/25/2018 05:16:16 AM PDT,Product 75,No,Germany,61521,Name 669,N/A,Other
00000670,Description 670,Closed,11/07/2017 09:05:41 PM PST,11/17/2017 03:40:48 AM PST,Product 76,No,Germany,N/A,Name 670,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000671,Description 671,Closed,11/07/2017 09:05:42 PM PST,11/17/2017 03:41:05 AM PST,Product 77,No,Germany,N/A,Name 671,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000672,Description 672,Closed,11/07/2017 09:05:42 PM PST,11/17/2017 03:41:30 AM PST,Product 78,No,Germany,N/A,Name 672,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000673,Description 673,Canceled,11/06/2017 09:06:15 PM PST,,Product 79,No,Italy,N/A,Name 673,,
00000674,Description 674,Closed,11/06/2017 09:06:16 PM PST,11/17/2017 03:41:57 AM PST,Product 80,No,Italy,N/A,Name 674,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000675,Description 675,Closed,11/06/2017 09:06:16 PM PST,11/17/2017 03:42:14 AM PST,Product 81,No,Italy,N/A,Name 675,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000676,Description 676,Canceled,11/06/2017 09:06:17 PM PST,,Product 82,No,Italy,N/A,Name 676,,
00000677,Description 677,Closed,11/06/2017 09:06:17 PM PST,11/17/2017 03:42:34 AM PST,Product 83,No,Italy,R25C161000118,Name 677,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000678,Description 678,Closed,11/07/2017 09:05:43 PM PST,11/17/2017 03:43:00 AM PST,Product 84,No,Germany,N/A,Name 678,"N/A, Complaint Closed Prior To This Field Implementation",Parts Order
00000679,Description 679,Closed,11/06/2017 09:06:21 PM PST,11/21/2017 04:58:10 AM PST,Product 85,No,Italy,AU1DB11100149,Name 679,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000680,Description 680,Submitted,11/06/2017 09:06:21 PM PST,,Product 86,No,Germany,N/A,Name 680,,
00000681,Description 681,Review,11/06/2017 09:06:22 PM PST,,Product 87,No,USA,ZO002460,Name 681,,Probe
00000682,Description 682,Review,11/06/2017 09:06:22 PM PST,,Product 88,No,USA,ZO001367,Name 682,,Probe
00000683,Description 683,Submitted,11/06/2017 09:06:23 PM PST,,Product 89,No,USA,ZO002431,Name 683,,Probe
00000684,Description 684,Review,11/06/2017 09:06:23 PM PST,,Product 90,No,USA,228500,Name 684,,Probe
00000685,Description 685,Review,11/06/2017 09:06:24 PM PST,,Product 91,No,USA,420021,Name 685,,Probe
00000686,Description 686,Review,11/06/2017 09:06:25 PM PST,,Product 92,No,USA,ZO000478,Name 686,,Probe
00000687,Description 687,Review,11/06/2017 09:06:25 PM PST,,Product 93,No,USA,219126,Name 687,,Probe
00000688,Description 688,Review,11/07/2017 09:05:44 PM PST,,Product 94,No,France,154080,Name 688,,Communication to System Issue
00000689,Description 689,Closed,11/06/2017 09:06:44 PM PST,11/17/2017 03:43:32 AM PST,Product 95,No,United Kingdom,31302,Name 689,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000690,Description 690,Review,11/06/2017 09:06:46 PM PST,,Product 96,No,Ireland,398626,Name 690,,Broken Cover
00000691,Description 691,Review,11/06/2017 09:06:48 PM PST,,Product 97,No,Norway,184308,Name 691,,Cable issue
00000692,Description 692,Closed,11/07/2017 09:05:45 PM PST,11/17/2017 03:43:49 AM PST,Product 98,No,Germany,147552,Name 692,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000693,Description 693,Review,11/07/2017 09:05:47 PM PST,,Product 99,No,Ireland,398628,Name 693,,Broken Cover
00000694,Description 694,Review,11/07/2017 09:05:48 PM PST,,Product 1,No,United Kingdom,113080 - 107280,Name 694,,Probe
00000695,Description 695,Review,11/07/2017 09:05:49 PM PST,,Product 2,No,United Kingdom,388980,Name 695,,Broken Cover
00000696,Description 696,Review,11/07/2017 09:05:52 PM PST,,Product 3,No,Korea,972057,Name 696,,Connector - Bent or Damaged
00000697,Description 697,Review,11/07/2017 09:05:52 PM PST,,Product 4,No,Taiwan,131375,Name 697,,Cable issue
00000698,Description 698,Closed,11/07/2017 09:05:55 PM PST,11/24/2017 03:20:50 AM PST,Product 5,No,Australia,158424,Name 698,"N/A, Complaint Closed Prior To This Field Implementation",PSU/Charger
00000699,Description 699,Review,11/07/2017 09:05:55 PM PST,,Product 6,No,Iran (Islamic Republic of),319813,Name 699,,Connector - Bent or Damaged
00000700,Description 700,Canceled,11/07/2017 09:05:56 PM PST,,Product 7,No,Italy,N/A,Name 700,,
00000701,Description 701,Canceled,11/07/2017 09:05:56 PM PST,,Product 8,No,Italy,N/A,Name 701,,
00000702,Description 702,Submitted,11/07/2017 09:05:58 PM PST,,Product 9,No,Brazil,N/A,Name 702,"N/A, Complaint Closed Prior To This Field Implementation",Software Issue
00000703,Description 703,Closed,12/18/2017 12:55:04 AM PST,01/17/2018 06:42:56 AM PST,Product 10,No,N/A,N/A,Name 703,"N/A, Complaint Closed Prior To This Field Implementation",Translate Issue
00000704,Description 704,Closed,11/07/2017 09:06:01 PM PST,11/16/2017 05:19:27 AM PST,Product 11,No,Czech Republic,184201,Name 704,"N/A, Complaint Closed Prior To This Field Implementation",Operator Damaged/Error
00000705,Description 705,Closed,11/07/2017 09:06:01 PM PST,11/30/2017 11:04:35 PM PST,Product 12,No,USA,986019,Name 705,"N/A, Complaint Closed Prior To This Field Implementation",Pump
00000706,Description 706,Review,11/07/2017 09:06:02 PM PST,,Product 13,No,Saudi Arabia,429651,Name 706,,Main/Digital Board
00000707,Description 707,Submitted,11/07/2017 09:06:03 PM PST,,Product 14,No,United Kingdom,N/A,Name 707,"N/A, Complaint Closed Prior To This Field Implementation",Firmware/Software
00000708,Description 708,Canceled,11/07/2017 09:06:03 PM PST,,Product 15,No,Italy,N/A,Name 708,,
00000709,Description 709,Canceled,11/07/2017 09:06:04 PM PST,,Product 16,No,Italy,N/A,Name 709,,
00000710,Description 710,Canceled,11/07/2017 09:06:04 PM PST,,Product 17,No,Italy,N/A,Name 710,,
00000711,Description 711,Canceled,11/07/2017 09:06:05 PM PST,,Product 18,No,Italy,N/A,Name 711,,
00000712,Description 712,Review,11/07/2017 09:06:08 PM PST,,Product 19,No,Norway,265424,Name 712,,Probe
00000713,Description 713,Closed,11/07/2017 09:06:15 PM PST,11/24/2017 03:27:25 AM PST,Product 20,No,United Kingdom,287294,Name 713,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000714,Description 714,Closed,11/07/2017 09:06:15 PM PST,11/24/2017 03:31:47 AM PST,Product 21,No,United Kingdom,N/A,Name 714,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00000715,Description 715,Review,11/07/2017 09:06:16 PM PST,,Product 22,No,United Kingdom,404510,Name 715,,Probe
00000716,Description 716,Closed,11/07/2017 09:06:16 PM PST,11/17/2017 03:44:10 AM PST,Product 23,No,United Kingdom,951514,Name 716,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000717,Description 717,Review,11/07/2017 09:06:18 PM PST,,Product 24,No,United Kingdom,397571-397590,Name 717,,Communication to System Issue
00000718,Description 718,Closed,11/07/2017 09:06:29 PM PST,11/17/2017 03:44:39 AM PST,Product 25,No,Germany,N/A,Name 718,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000719,Description 719,Submitted,11/07/2017 09:06:29 PM PST,,Product 26,No,Germany,N/A,Name 719,,Probe
00000720,Description 720,Closed,11/07/2017 09:06:30 PM PST,11/17/2017 03:45:00 AM PST,Product 27,No,Germany,N/A,Name 720,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000721,Description 721,Closed,11/07/2017 09:06:30 PM PST,11/17/2017 03:45:27 AM PST,Product 28,No,Germany,257688,Name 721,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000722,Description 722,Closed,11/07/2017 09:06:31 PM PST,11/17/2017 03:45:45 AM PST,Product 29,No,Germany,N/A,Name 722,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000723,Description 723,Closed,11/08/2017 02:38:14 AM PST,11/17/2017 03:46:16 AM PST,Product 30,No,Germany,N/A,Name 723,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000724,Description 724,Canceled,11/07/2017 09:06:31 PM PST,,Product 31,,Norway,,Name 724,,
00000725,Description 725,Closed,11/08/2017 02:40:58 AM PST,11/17/2017 03:47:42 AM PST,Product 32,No,Italy,N/A,Name 725,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000726,Description 726,Canceled,11/08/2017 02:40:58 AM PST,,Product 33,No,Italy,N/A,Name 726,,
00000727,Description 727,Review,11/08/2017 02:41:04 AM PST,,Product 34,No,Germany,704460,Name 727,,
00000728,Description 728,Review,11/08/2017 09:00:50 PM PST,,Product 35,No,Germany,393175,Name 728,,
00000729,Description 729,Review,11/08/2017 09:00:51 PM PST,,Product 36,No,Germany,292728,Name 729,,
00000730,Description 730,Canceled,11/08/2017 09:00:51 PM PST,,Product 37,No,Germany,N/A,Name 730,,
00000731,Description 731,Canceled,11/08/2017 09:00:52 PM PST,,Product 38,No,Germany,425937,Name 731,,Other
00000732,Description 732,Review,11/09/2017 09:00:46 PM PST,,Product 39,No,Germany,46541081,Name 732,,Probe
00000733,Description 733,Review,11/09/2017 09:00:47 PM PST,,Product 40,No,Germany,374386,Name 733,,
00000734,Description 734,Review,11/09/2017 09:00:47 PM PST,,Product 41,No,Germany,252976,Name 734,,Communication to System Issue
00000735,Description 735,Review,11/09/2017 09:00:48 PM PST,,Product 42,No,Germany,704121,Name 735,,Microphone
00000736,Description 736,Review,11/09/2017 09:00:49 PM PST,,Product 43,No,Germany,385901,Name 736,,Headset
00000737,Description 737,Pending,11/09/2017 09:00:49 PM PST,,Product 44,,Germany,12100105,Name 737,,
00000738,Description 738,Review,11/09/2017 09:00:50 PM PST,,Product 45,No,Germany,148354,Name 738,,
00000739,Description 739,Review,11/09/2017 09:00:50 PM PST,,Product 46,No,Germany,148354,Name 739,,
00000740,Description 740,Review,11/09/2017 09:00:51 PM PST,,Product 47,No,Germany,N/A,Name 740,,
00000741,Description 741,Closed,11/08/2017 02:41:23 AM PST,11/17/2017 03:48:33 AM PST,Product 48,No,Germany,N/A,Name 741,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000742,Description 742,Review,11/08/2017 09:00:53 PM PST,,Product 49,No,Germany,200621,Name 742,,
00000743,Description 743,Closed,11/08/2017 09:00:53 PM PST,11/17/2017 03:48:52 AM PST,Product 50,No,Germany,N/A,Name 743,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000744,Description 744,Review,11/08/2017 09:00:54 PM PST,,Product 51,No,Denmark,989679,Name 744,,Camera
00000745,Description 745,Review,11/08/2017 02:41:49 AM PST,,Product 52,No,USA,129854,Name 745,,Connector - Bent or Damaged
00000746,Description 746,Review,11/08/2017 02:41:51 AM PST,,Product 53,No,United Kingdom,265037,Name 746,,Power Issues
00000747,Description 747,Closed,11/08/2017 09:00:56 PM PST,11/17/2017 03:49:14 AM PST,Product 54,No,Italy,AU1DF12100570,Name 747,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000748,Description 748,Closed,11/08/2017 02:41:54 AM PST,11/17/2017 03:49:35 AM PST,Product 55,No,Italy,N/A,Name 748,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000749,Description 749,Canceled,11/08/2017 02:41:54 AM PST,,Product 56,No,Italy,N/A,Name 749,,
00000750,Description 750,Canceled,11/08/2017 02:41:55 AM PST,,Product 57,No,Italy,N/A,Name 750,,
00000751,Description 751,Canceled,11/08/2017 02:41:55 AM PST,,Product 58,No,Italy,N/A,Name 751,,
00000752,Description 752,Canceled,11/08/2017 02:41:56 AM PST,,Product 59,No,Italy,N/A,Name 752,,
00000753,Description 753,Canceled,11/08/2017 02:41:56 AM PST,,Product 60,No,Italy,N/A,Name 753,,
00000754,Description 754,Closed,11/08/2017 09:01:05 PM PST,11/17/2017 03:49:55 AM PST,Product 61,No,Germany,2101105,Name 754,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00000755,Description 755,Submitted,11/08/2017 09:01:08 PM PST,,Product 62,No,Finland,149955,Name 755,,Probe
00000756,Description 756,Review,11/08/2017 09:01:09 PM PST,,Product 63,No,Spain,213773,Name 756,,
00000757,Description 757,Submitted,11/08/2017 02:42:00 AM PST,,Product 64,No,United Kingdom,946524,Name 757,,Power Issues
00000758,Description 758,Submitted,11/08/2017 09:01:12 PM PST,,Product 65,No,United Kingdom,427801,Name 758,,
00000759,Description 759,Closed,11/08/2017 09:01:12 PM PST,11/17/2017 03:50:21 AM PST,Product 66,No,United Kingdom,973759,Name 759,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000760,Description 760,Closed,11/08/2017 09:01:13 PM PST,06/25/2018 05:19:09 AM PDT,Product 67,No,Ireland,405082,Name 760,N/A,Probe
00000761,Description 761,Submitted,11/08/2017 09:01:19 PM PST,,Product 68,No,Germany,611009,Name 761,,
00000762,Description 762,Closed,11/09/2017 09:00:53 PM PST,11/17/2017 03:50:40 AM PST,Product 69,No,Germany,N/A,Name 762,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000763,Description 763,Closed,11/09/2017 09:00:53 PM PST,11/17/2017 03:50:58 AM PST,Product 70,No,Germany,N/A,Name 763,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000764,Description 764,Review,11/09/2017 09:00:54 PM PST,,Product 71,No,Germany,989540,Name 764,,
00000765,Description 765,Closed,11/09/2017 09:00:54 PM PST,11/17/2017 03:51:21 AM PST,Product 72,No,Germany,N/A,Name 765,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000766,Description 766,Closed,11/09/2017 09:00:55 PM PST,11/17/2017 03:51:41 AM PST,Product 73,No,Germany,N/A,Name 766,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000767,Description 767,Closed,11/09/2017 09:00:55 PM PST,12/01/2017 04:52:34 AM PST,Product 74,No,Germany,N/A,Name 767,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00000768,Description 768,Closed,11/09/2017 09:00:56 PM PST,11/17/2017 03:52:01 AM PST,Product 75,No,Germany,N/A,Name 768,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000769,Description 769,Closed,11/09/2017 09:00:56 PM PST,11/17/2017 03:52:23 AM PST,Product 76,No,Germany,N/A,Name 769,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000770,Description 770,Closed,11/09/2017 09:00:57 PM PST,11/20/2017 01:37:58 AM PST,Product 77,No,Germany,N/A,Name 770,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000771,Description 771,Closed,11/09/2017 09:00:57 PM PST,11/20/2017 01:38:27 AM PST,Product 78,No,Germany,N/A,Name 771,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000772,Description 772,Closed,11/09/2017 09:00:58 PM PST,11/20/2017 01:38:48 AM PST,Product 79,No,Germany,N/A,Name 772,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000773,Description 773,Closed,11/09/2017 09:00:58 PM PST,11/20/2017 01:39:07 AM PST,Product 80,No,Germany,N/A,Name 773,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000774,Description 774,Closed,11/09/2017 09:00:59 PM PST,11/26/2017 11:02:49 PM PST,Product 81,No,Germany,N/A,Name 774,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000775,Description 775,Closed,11/09/2017 09:00:59 PM PST,11/26/2017 11:11:01 PM PST,Product 82,No,Germany,N/A,Name 775,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000776,Description 776,Closed,11/08/2017 09:01:48 PM PST,06/25/2018 05:20:54 AM PDT,Product 83,No,United Kingdom,187752,Name 776,N/A,Other
00000777,Description 777,Closed,11/09/2017 09:01:06 PM PST,02/14/2018 03:58:21 AM PST,Product 84,No,United Kingdom,N/A,Name 777,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00000778,Description 778,Review,11/09/2017 09:01:07 PM PST,,Product 85,No,Italy,126528,Name 778,,Headset
00000779,Description 779,Closed,11/09/2017 09:01:16 PM PST,11/20/2017 01:39:38 AM PST,Product 86,No,Germany,N/A,Name 779,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000780,Description 780,Closed,11/09/2017 09:01:16 PM PST,11/20/2017 01:39:58 AM PST,Product 87,No,Germany,N/A,Name 780,"N/A, Complaint Closed Prior To This Field Implementation",Other
00000781,Description 781,Review,11/09/2017 09:01:17 PM PST,,Product 88,No,United Kingdom,N/A,Name 781,,Firmware/Software
